EMC Party ID,State,"City,State",zip,Installed
2259251,MA,"WATERTOWN, MA",2472,37
12716218,RI,"CUMBERLAND, RI",2864,36
63524,RI,"WOONSOCKET, RI",2895,160
14377795,NJ,"FAIRFIELD, NJ",7004,3
8482166,NJ,"CARLSTADT, NJ",7072,8
64262,NJ,"LUMBERTON, NJ",8048,1
14501061,NY,"CHEMUNG, NY",14825,2
10476732,PA,"MONROEVILLE, PA",15146,4
12485279,PA,"SOMERSET, PA",15501,1
7445635,PA,"WILKES BARRE, PA",18706,7
29799060,PA,"PHILADELPHIA, PA",19108,1
11716214,VA,"FREDERICKSBURG, VA",22408,2
12485254,SC,"NORTH AUGUSTA, SC",29841,2
12497987,FL,"ORLANDO, FL",32809,1
4154049,FL,"VERO BEACH, FL",32966,2
25593424,FL,"PLANTATION, FL",33324,1
30088194,FL,"TAMPA, FL",33614,1
12485206,AL,"BESSEMER, AL",35022,2
4077762,TN,"NASHVILLE, TN",37228,3
12497985,TN,"KNOXVILLE, TN",37922,2
12497989,IN,"INDIANAPOLIS, IN",46219,2
12485095,MI,"NOVI, MI",48375,4
2883345,IL,"MOUNT PROSPECT, IL",60056,16
3621332,IL,"NORTHBROOK, IL",60062,4
13720544,IL,"BUFFALO GROVE, IL",60089,9
4085326,MO,"LEES SUMMIT, MO",64063,2
4225837,KS,"LENEXA, KS",66219,3
4179703,TX,"IRVING, TX",75039,2
2269277,TX,"RICHARDSON, TX",75081,3
3650828,TX,"ENNIS, TX",75119,2
2883326,TX,"DALLAS, TX",75204,2
4150913,TX,"NORTH RICHLAND HILLS, TX",76180,5
12227575,TX,"CONROE, TX",77385,1
3987609,TX,"SAN ANTONIO, TX",78238,12
3987706,AZ,"PHOENIX, AZ",85040,11
12484533,AZ,"PHOENIX, AZ",85043,2
2482805,AZ,"SCOTTSDALE, AZ",85260,124
12469191,CA,"LA HABRA, CA",90631,2
5431921,CA,"REDLANDS, CA",92374,4
12481547,CA,"PATTERSON, CA",95363,3
15067444,HI,"KAPOLEI, HI",96707,3
